"Title","screens","firstDay","openingNote","firstWeekend","totalNetGross","ratings","firstWeek","budget","indiaGross","overseasGross","worldwideGross","allTimeRank","footfalls","adjustedNetGross","overseasFirstWeekend","worldwideFirstWeekend","overseasFirstWeek","worldwideFirstWeek","Release Date","Runtime","Genre"
"Aurangzeb","1200","3,82,00,000",,"1,20,50,000","Total Nett Gross: 22,74,25,000","30.00% (1 Ratings)","18,56,00,000","22,00,00,000","30,70,00,000","$790,000","35,02,52,500","802","$530,000","4,52,85,000","$---","25,05,60,000","17 May 2013","135 min","Drama"
"Go Goa Gone","1100","3,47,00,000",,"11,92,00,000","Total Nett Gross: 24,24,00,000","64.29% (7 Ratings)","17,92,00,000","19,00,00,000","32,95,00,000","$1,000,000","38,42,50,000","806","$575,000","19,35,93,250","$700,000","28,20,37,000","10 May 2013","116 min","Comedy"
"Ek Thi Daayan","1550","5,19,00,000",,"14,87,00,000","Total Nett Gross: 26,81,00,000","51.00% (5 Ratings)","23,55,00,000","26,00,00,000","36,58,00,000","$680,000","40,25,20,000","480","$350,000","22,11,32,000","$510,000","34,78,20,000","19 Apr 2013","135 min","Horror"
"Ramaiya Vastavaiya","1400","3,53,00,000",,"12,34,00,000","Total Nett Gross: 26,85,00,000","55.00% (2 Ratings)","19,58,00,000","38,00,00,000","36,20,00,000","$360,000","38,34,20,000","712","$220,000","17,96,80,000","$300,000","28,21,80,000","19 Jul 2013","149 min","Love Story"
"Lootera","1050","4,14,00,000",,"15,89,00,000","Total Nett Gross: 27,86,25,000","60.00% (7 Ratings)","23,30,00,000","32,00,00,000","37,61,00,000","$1,460,000","46,40,65,000","769","$810,000","26,33,17,500","$1,180,000","38,56,45,000","5 Jul 2013","143 min","Love Story"
"Ghanchakkar","1450","6,07,00,000",,"19,13,00,000","Total Nett Gross: 28,16,75,000","65.00% (2 Ratings)","26,53,00,000","29,00,00,000","38,03,00,000","$1,170,000","44,99,15,000","752","$770,000","30,40,70,000","$1,030,000","41,94,40,000","28 Jun 2013","138 min","Comedy"
"Jolly LLB","875","2,98,00,000",,"12,04,00,000","Total Nett Gross: 30,32,00,000","72.73% (11 Ratings)","18,31,00,000","13,50,00,000","40,86,00,000","$450,000","43,29,00,000","211","$200,000","17,33,40,000","$300,000","26,33,85,000","15 Mar 2013","131 min","Comedy"
"Yamla Pagla Deewana 2","2000","6,36,00,000",,"19,07,00,000","Total Nett Gross: 30,77,00,000","7.50% (2 Ratings)","27,28,00,000","46,00,00,000","41,51,00,000","$1,200,000","48,35,00,000","678","$790,000","30,24,75,000","$1,065,000","42,89,85,000","7 Jun 2013","154 min","Comedy"
"Fukrey","1000","2,46,00,000",,"9,32,00,000","Total Nett Gross: 34,86,50,000","56.67% (3 Ratings)","17,81,00,000","19,00,00,000","46,66,00,000","$410,000","49,01,75,000","282","$230,000","13,81,13,000","$320,000","25,70,54,000","14 Jun 2013","143 min","Comedy"
"Bullet Raja","2150","6,64,00,000",,"21,07,00,000","Total Nett Gross: 32,75,00,000","48.75% (4 Ratings)","30,33,00,000","52,00,00,000","44,82,00,000","$1,450,000","53,88,25,000","679","$880,000","34,36,59,000","$1,220,000","49,17,71,000","29 Nov 2013","135 min","Action"
"Phata Poster Nikhla Hero","1900","5,81,00,000",,"20,20,00,000","Total Nett Gross: 38,42,50,000","31.67% (6 Ratings)","29,48,00,000","47,00,00,000","52,27,00,000","$1,780,000","63,30,60,000","622","$1,080,000","34,16,80,000","$1,390,000","48,71,08,000","20 Sep 2013","147 min","Comedy"
"Matru Ki Bijlee Ka Mandola","1850","6,42,00,000",,"21,39,00,000","Total Nett Gross: 38,89,00,000","77.00% (5 Ratings)","31,61,00,000","41,00,00,000","52,66,00,000","$1,670,000","61,76,15,000","642","$1,020,000","34,43,55,000","$1,380,000","50,19,45,000","11 Jan 2013","151 min","Drama"
"ABCD - Any Body Can Dance","1000","4,51,00,000",,"16,73,00,000","Total Nett Gross: 39,34,00,000","32.50% (6 Ratings)","26,04,00,000","27,00,00,000","53,91,00,000","$720,000","57,79,80,000","277","$400,000","25,08,01,000","$530,000","38,53,68,000","8 Feb 2013","143 min","Drama"
"Chasme Baddoor","1500","5,16,00,000",,"19,31,00,000","Total Nett Gross: 42,16,00,000","47.50% (4 Ratings)","30,26,00,000","20,00,00,000","57,74,00,000","$925,000","62,80,43,750","204","$530,000","29,35,64,500","$625,000","44,87,80,750","5 Apr 2013","131 min","Comedy"
"Himmatwala","3150","10,13,00,000",,"26,20,00,000","Total Nett Gross: 42,47,00,000","8.57% (7 Ratings)","37,23,00,000","68,00,00,000","58,34,00,000","$1,375,000","65,79,93,750","581","$950,000","41,04,77,500","$1,175,000","57,37,94,750","29 Mar 2013","151 min","Masala"
"Kai Po Che","900","3,68,00,000",,"15,42,00,000","Total Nett Gross: 43,58,00,000","78.33% (12 Ratings)","24,37,00,000","30,00,00,000","59,58,00,000","$2,330,000","72,16,20,000","274","$1,040,000","26,74,14,000","$1,350,000","40,67,69,000","22 Feb 2013","126 min","Drama"
"Madras Cafe","1050","5,09,00,000",,"20,54,00,000","Total Nett Gross: 43,84,50,000","72.50% (6 Ratings)","32,78,00,000","35,00,00,000","59,50,00,000","$1,260,000","67,56,40,000","375","$630,000","31,96,64,000","$930,000","50,53,28,000","23 Aug 2013","130 min","Thriller"
"Shuddh Desi Romance","1050","6,38,00,000",,"23,10,00,000","Total Nett Gross: 46,26,00,000","80.28% (18 Ratings)","36,27,00,000","25,00,00,000","62,28,00,000","$1,960,000","75,11,80,000","201","$1,050,000","38,06,25,000","$1,380,000","58,00,35,000","6 Sep 2013","141 min","Rom - Com"
"Boss","2800","11,70,00,000",,"24,38,00,000","Total Nett Gross: 49,89,00,000","63.21% (14 Ratings)","41,59,00,000","70,00,00,000","67,87,00,000","$2,780,000","84,82,80,000","560","$1,380,000","41,57,48,000","$2,180,000","69,86,04,000","16 Oct 2013","144 min","Action"
"Shootout At Wadala","2200","8,41,00,000",,"25,63,00,000","Total Nett Gross: 53,59,50,000","36.43% (7 Ratings)","40,61,00,000","49,00,00,000","73,82,00,000","$1,610,000","82,55,42,500","356","$890,000","40,19,76,500","$1,210,000","62,60,60,500","3 May 2013","151 min","Action"
"Satyagraha","2650","9,76,00,000",,"33,39,00,000","Total Nett Gross: 55,08,50,000","38.57% (7 Ratings)","46,52,00,000","73,00,00,000","74,96,00,000","$2,450,000","91,00,75,000","553","$1,350,000","54,25,29,000","$1,890,000","75,64,67,000","30 Aug 2013","153 min","Drama"
"Besharam","3400","19,87,00,000",,"32,29,00,000","Total Nett Gross: 56,82,50,000","77.22% (18 Ratings)","49,11,00,000","83,00,00,000","77,10,00,000","$2,930,000","95,11,95,000","558","$1,820,000","55,10,74,000","$2,480,000","82,04,16,000","2 Oct 2013","141 min","Comedy"
"Raanjhanaa","1450","5,12,00,000",,"20,11,00,000","Total Nett Gross: 61,63,00,000","70.00% (16 Ratings)","35,01,00,000","36,00,00,000","83,41,00,000","$1,810,000","94,13,42,500","178","$825,000","32,03,66,250","$1,200,000","54,37,35,000","21 Jun 2013","146 min","Love Story"
"Once Upon A Time In Mumbaai Dobaara!","2300","10,23,00,000",,"27,30,00,000","Total Nett Gross: 58,49,00,000","49.09% (11 Ratings)","48,54,00,000","1,00,00,00,000","80,24,00,000","$1,850,000","91,71,00,000","540","$1,140,000","44,46,90,000","$1,420,000","75,30,38,000","15 Aug 2013","153 min","Action"
"Special 26","1600","5,87,00,000",,"23,59,00,000","Total Nett Gross: 65,47,50,000","80.77% (26 Ratings)","38,70,00,000","50,00,00,000","88,72,00,000","$2,760,000","1,03,62,40,000","249","$1,220,000","38,67,04,000","$1,830,000","62,51,40,000","8 Feb 2013","143 min","Thriller"
"R... Rajkumar","2350","9,47,00,000",,"28,61,00,000","Total Nett Gross: 65,99,00,000","41.79% (14 Ratings)","46,68,00,000","58,00,00,000","89,57,00,000","$1,620,000","99,57,35,000","335","$900,000","44,46,71,000","$1,240,000","71,14,18,000","6 Dec 2013","146 min","Action"
"Aashiqui 2","1150","5,11,00,000",,"17,90,00,000","Total Nett Gross: 78,64,00,000","67.62% (21 Ratings)","34,69,00,000","15,00,00,000","1,07,21,00,000","$400,000","1,09,38,00,000","44","$135,000","25,07,63,750","$200,000","48,26,34,000","26 Apr 2013","140 min","Love Story"
"Grand Masti","2100","12,19,00,000",,"39,23,00,000","Total Nett Gross: 91,65,50,000","33.33% (15 Ratings)","63,82,00,000","34,00,00,000","1,23,78,00,000","$1,060,000","1,30,51,10,000","83","$525,000","56,29,42,500","$820,000","91,36,40,000","13 Sep 2013","136 min","Comedy"
"Race 2","3200","14,38,00,000",,"48,17,00,000","Total Nett Gross: 93,48,50,000","47.63% (19 Ratings)","69,58,00,000","90,00,00,000","1,27,03,00,000","$6,420,000","1,61,53,75,000","221","$3,190,000","82,65,74,500","$4,490,000","1,18,76,25,500","25 Jan 2013","140 min","Thriller"
"Bhaag Milkha Bhaag","1650","8,48,00,000",,"31,16,00,000","Total Nett Gross: 1,09,18,50,000","62.39% (23 Ratings)","52,37,00,000","53,00,00,000","1,40,86,00,000","$3,820,000","1,63,78,00,000","81","$1,390,000","50,08,00,000","$2,020,000","82,30,00,000","12 Jul 2013","188 min","Drama"
"Goliyon Ki Raasleela Ram - Leela","3000","14,91,00,000",,"48,58,00,000","Total Nett Gross: 1,12,97,50,000","47.23% (47 Ratings)","73,87,00,000","88,00,00,000","1,52,29,30,000","$7,870,000","2,01,48,05,000","116","$3,970,000","90,39,55,000","$5,230,000","1,32,41,20,000","15 Nov 2013","153 min","Love Story"
"Yeh Jawaani Hai Deewani","2900","19,42,00,000",,"61,87,00,000","Total Nett Gross: 1,77,99,00,000","47.74% (148 Ratings)","1,05,35,00,000","75,00,00,000","2,36,74,00,000","$10,420,000","2,95,61,30,000","29","$3,940,000","1,04,54,81,000","$5,580,000","1,71,64,25,000","31 May 2013","159 min","Love Story"
"Krrish 3","3500","18,93,00,000","Excellent","49,47,00,000","Total Nett Gross: 1,75,83,50,000","34.57% (140 Ratings)","1,21,22,00,000","95,00,00,000","2,37,46,00,000","$8,720,000","2,91,52,40,000","24","$3,900,000","90,96,45,000","$5,340,000","1,96,75,50,000","1 Nov 2013","152 min","Action"
"Chennai Express","3600","30,48,00,000","Bumper","86,28,00,000","Total Nett Gross: 2,07,69,00,000","54.61% (333 Ratings)","1,39,70,00,000","1,15,00,00,000","2,78,13,00,000","$19,390,000","3,95,92,42,500","18","$7,230,000","1,59,53,74,500","$10,260,000","2,49,52,75,000","8 Aug 2013","142 min","Masala"
